Form: 110_frmClassBuilder
------------------------------------
Name: regSteps	Typ: TabControl
Name: pagClassData	Typ: Page
Name: txtClassID	Typ: TextBox
Name: Bezeichnungsfeld120	Typ: Label
Name: EmptyCell1764	Typ: EmptyCell
Name: EmptyCell1467	Typ: EmptyCell
Name: Bezeichnungsfeld29	Typ: Label
Name: EmptyCell188	Typ: EmptyCell
Name: EmptyCell1442	Typ: EmptyCell
Name: EmptyCell287	Typ: EmptyCell
Name: EmptyCell231	Typ: EmptyCell
Name: EmptyCell906	Typ: EmptyCell
Name: EmptyCell1417	Typ: EmptyCell
Name: Bezeichnungsfeld3	Typ: Label
Name: txtClassName	Typ: TextBox
Name: Bezeichnungsfeld19	Typ: Label
Name: EmptyCell1765	Typ: EmptyCell
Name: EmptyCell1468	Typ: EmptyCell
Name: Bezeichnungsfeld62	Typ: Label
Name: EmptyCell189	Typ: EmptyCell
Name: EmptyCell1443	Typ: EmptyCell
Name: Bezeichnungsfeld315	Typ: Label
Name: EmptyCell292	Typ: EmptyCell
Name: EmptyCell907	Typ: EmptyCell
Name: EmptyCell1418	Typ: EmptyCell
Name: EmptyCell371	Typ: EmptyCell
Name: txtClassTableName	Typ: TextBox
Name: Bezeichnungsfeld109	Typ: Label
Name: EmptyCell1766	Typ: EmptyCell
Name: EmptyCell1469	Typ: EmptyCell
Name: EmptyCell378	Typ: EmptyCell
Name: EmptyCell379	Typ: EmptyCell
Name: EmptyCell1444	Typ: EmptyCell
Name: EmptyCell381	Typ: EmptyCell
Name: EmptyCell382	Typ: EmptyCell
Name: EmptyCell908	Typ: EmptyCell
Name: EmptyCell1419	Typ: EmptyCell
Name: EmptyCell84	Typ: EmptyCell
Name: EmptyCell402	Typ: EmptyCell
Name: EmptyCell403	Typ: EmptyCell
Name: EmptyCell1767	Typ: EmptyCell
Name: EmptyCell1470	Typ: EmptyCell
Name: lstPreview_Properties	Typ: ListBox
Name: cmdPreviewProperty_MoveUp	Typ: CommandButton
Name: EmptyCell1445	Typ: EmptyCell
Name: lstPreview_Methods	Typ: ListBox
Name: cmdPreviewMethod_MoveUp	Typ: CommandButton
Name: EmptyCell1420	Typ: EmptyCell
Name: EmptyCell44	Typ: EmptyCell
Name: EmptyCell46	Typ: EmptyCell
Name: EmptyCell1797	Typ: EmptyCell
Name: cmdPreviewProperty_MoveDown	Typ: CommandButton
Name: EmptyCell1446	Typ: EmptyCell
Name: cmdPreviewMethod_MoveDown	Typ: CommandButton
Name: EmptyCell1421	Typ: EmptyCell
Name: Bezeichnungsfeld51	Typ: Label
Name: EmptyCell83	Typ: EmptyCell
Name: EmptyCell1796	Typ: EmptyCell
Name: EmptyCell209	Typ: EmptyCell
Name: EmptyCell1447	Typ: EmptyCell
Name: EmptyCell911	Typ: EmptyCell
Name: EmptyCell1422	Typ: EmptyCell
Name: lstPreview_Packages	Typ: ListBox
Name: EmptyCell1813	Typ: EmptyCell
Name: cmdPreviewProperties_DeleteSelected	Typ: CommandButton
Name: EmptyCell1448	Typ: EmptyCell
Name: cmdPreviewMethods_DeleteSelected	Typ: CommandButton
Name: EmptyCell1423	Typ: EmptyCell
Name: EmptyCell1449	Typ: EmptyCell
Name: EmptyCell1424	Typ: EmptyCell
Name: EmptyCell1812	Typ: EmptyCell
Name: EmptyCell211	Typ: EmptyCell
Name: EmptyCell1450	Typ: EmptyCell
Name: EmptyCell914	Typ: EmptyCell
Name: EmptyCell1425	Typ: EmptyCell
Name: EmptyCell1790	Typ: EmptyCell
Name: EmptyCell208	Typ: EmptyCell
Name: EmptyCell1451	Typ: EmptyCell
Name: EmptyCell915	Typ: EmptyCell
Name: EmptyCell1426	Typ: EmptyCell
Name: EmptyCell1794	Typ: EmptyCell
Name: EmptyCell55	Typ: EmptyCell
Name: EmptyCell56	Typ: EmptyCell
Name: EmptyCell1793	Typ: EmptyCell
Name: EmptyCell195	Typ: EmptyCell
Name: EmptyCell1452	Typ: EmptyCell
Name: EmptyCell916	Typ: EmptyCell
Name: EmptyCell1427	Typ: EmptyCell
Name: Bezeichnungsfeld458	Typ: Label
Name: EmptyCell49	Typ: EmptyCell
Name: EmptyCell1791	Typ: EmptyCell
Name: EmptyCell196	Typ: EmptyCell
